,Run #,Run #_EIS,Sample #,x (cm),y (cm),Pt (Atomic%),Pd (Atomic%),Au (Atomic%),Ir (Atomic%),iR drop (Ω),Notes,d_average,EN,IE,SE,d_band,IR,overP0,J0,Voc0,overP1,J1,Voc1,overP2,J2,Voc2,overP3,J3,Voc3,overP4,J4,Voc4
72,Run10-2,Run10-2,27,-3,-1,0.5273,0.1176,0.3237,0.0314,72.59,,9.3785,1.426396,8.974801,1.249118,-2.620259,73.93717,0.766577912,-0.844266528,0.955473752,0.711782137,-0.387534174,1.067298603,0.710353803,-0.325956841,1.053195749,0.710655645,-0.286210687,1.067224584,0.712075229,-0.233933996,1.057242181
73,Run10-2,Run10-2,28,-2,-1,0.4087,0.1258,0.4146,0.0509,59.39,,9.4386,1.425985,8.994455,1.196304,-2.733164,82.33977,0.724707444,-1.260331201,1.291244174,0.710632671,-0.80053976,1.0012613,0.715645066,-0.879068605,1.073227047,0.715462341,-0.825574216,1.015138614,0.712679575,-0.72538798,1.011150142
74,Run10-2,Run10-2,29,-1,-1,0.2973,0.1163,0.5138,0.0726,,,9.4849,1.427243,9.027346,1.141586,-2.864068,76.92261,0.704629971,-0.850188467,1.051271846,0.699831777,-0.743209766,1.005287846,0.704084278,-0.733647834,0.951231847,0.695863668,-0.507526106,0.929279846,0.695733872,-0.466377332,0.855263846
75,Run10-2,Run10-2,30,0,-1,0.1975,0.0984,0.5921,0.1119,59.64,,9.4658,1.431467,9.059082,1.117442,-2.968432,80.2314,0.70115776,-0.877684033,1.281290132,0.694304144,-0.594745942,1.043228915,0.690099678,-0.562546301,1.035173234,0.679314709,-0.422563179,0.999259483,0.670733384,-0.316416242,0.983167618
76,Run10-2,Run10-2,31,1,-1,0.1397,0.0928,0.6118,0.1556,,,9.3925,1.436384,9.06831,1.138608,-2.990473,97.5604,0.763339393,-0.93885499,1.301294771,0.660970131,-0.090993457,1.157267708,0.638523352,0.061344964,1.121203415,0.617324854,0.145797566,1.085284585,0.588336156,0.239738404,1.053180001
77,Run10-2,Run10-2,32,2,-1,0.1046,0.0912,0.5719,0.2323,63.65,,9.1985,1.445907,9.060192,1.229866,-2.928363,81.95236,0.626151886,-0.47907234,1.271270005,0.504403468,0.368880682,1.019295607,0.507798367,0.372728349,1.039216409,0.493086097,0.423037235,1.02128992,0.484443358,0.4515164,1.043153305
78,Run10-2,Run10-2,33,3,-1,0.0831,0.0973,0.4826,0.337,55.91,,8.9059,1.458661,9.033346,1.378854,-2.79416,95.1824,0.564193989,-0.15967453,1.239298201,0.403937373,0.606962092,0.933251933,0.390273458,0.647062969,0.959093454,0.383217712,0.665844867,0.989284961,0.380806126,0.672482852,0.98915913
79,Run10-2,Run10-2,34,-3,-2,0.5665,0.095,0.3169,0.0216,59.65,,9.3687,1.427488,8.986879,1.249474,-2.622215,,,,,,,,,,,,,,,,
80,Run10-2,Run10-2,35,-2,-2,0.4542,0.1072,0.3981,0.0405,58.33,,9.4243,1.426845,9.001428,1.202798,-2.720817,,,,,,,,,,,,,,,,
81,Run10-2,Run10-2,36,-1,-2,0.3267,0.1005,0.5033,0.0695,64.56,,9.4648,1.428534,9.034276,1.149088,-2.857383,76.62547,0.772537718,-0.881477112,0.804610446,0.731490621,-0.83840229,0.941274637,0.738127814,-1.228581573,0.861263986,0.741000652,-1.109070271,0.875248048,0.741141701,-1.063190698,0.929261304
